18,156-1-000022,달서대로88길인근,공영,노상,대구광역시 달서구 성서공단로21길 26,대구광역시 달서구 갈산동 358-36,23,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.83764871,128.4947594,,2023-11-30
19,156-1-000023,달서대로94길인근,공영,노상,대구광역시 달서구 성서공단로21길 57,대구광역시 달서구 갈산동 358-16,11,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.84018458,128.4939955,,2023-11-30
20,156-1-000024,달서시영아파트 인근,공영,노상,대구광역시 달서구 장기로 116,대구광역시 달서구 성당동 726-1,20,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.84360743,128.5483975,,2023-11-30
21,156-1-000025,대경아파트인근주차장,공영,노상,대구광역시 달서구 성당로 137,대구광역시 달서구 성당동 118-6,17,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.84738805,128.5669003,,2023-11-30
22,156-1-000026,대구광역시종합복지회관 인근,공영,노상,대구광역시 달서구 성당로 187,대구광역시 달서구 성당동 72-10,21,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.84972658,128.5698397,,2023-11-30
23,156-1-000030,대림어린이공원 인근,공영,노상,,대구광역시 달서구 죽전동 253-1,16,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.85223055,128.5390354,,2023-11-30
24,156-1-000031,동우상가아파트인근주차장,공영,노상,대구광역시 달서구 죽전1길 82,대구광역시 달서구 죽전동 251,12,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.85262612,128.5392595,,2023-11-30
25,156-1-000032,동화로즈빌아파트 인근,공영,노상,대구광역시 달서구 죽전1길 82,대구광역시 달서구 죽전동 251,11,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.85262612,128.5392595,,2023-11-30
26,156-1-000033,동흥하우젠트 인근,공영,노상,,대구광역시 달서구 본리동 662-4,2,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.83782984,128.532418,,2023-11-30
27,156-1-000034,무지개빌라트 인근,공영,노상,대구광역시 달서구 대명천로8길 28-4,대구광역시 달서구 성당동 454-3,6,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.83995854,128.5558996,,2023-11-30
28,156-1-000035,방송통신중학교 인근,공영,노상,대구광역시 달서구 야외음악당로 42,대구광역시 달서구 성당동 434-1,6,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.84137518,128.5536181,,2023-11-30
29,156-1-000036,본리롯데캐슬1차아파트 인근,공영,노상,대구광역시 달서구 대명천로 101,대구광역시 달서구 본리동 193-3,11,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.83903418,128.5471926,,2023-11-30
30,156-1-000037,삼정그린빌아파트 인근,공영,노상,대구광역시 달서구 야외음악당로39길 54,대구광역시 달서구 두류동 486-2,29,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.85414356,128.5543603,,2023-11-30
31,156-1-000038,상인성지한서아파트 인근,공영,노상,대구광역시 달서구 상화북로 195,대구광역시 달서구 상인동 1522,5,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.81403486,128.5465284,,2023-11-30
32,156-1-000041,상화로35길인근노상공영주차장,공영,노상,대구광역시 달서구 월배로 95-17,대구광역시 달서구 진천동 576-20,2,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.81474685,128.5242074,,2023-11-30
33,156-1-000042,상화북로인근주차장,공영,노상,대구광역시 달서구 상화북로 80,대구광역시 달서구 상인동 1458-18,26,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.8114998,128.5349196,,2023-11-30
34,156-1-000045,성당더샵아파트 인근,공영,노상,대구광역시 달서구 장기로 115,대구광역시 달서구 성당동 834,19,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.84314371,128.5473095,,2023-11-30
35,156-1-000046,성당제림하이츠아파트 인근,공영,노상,대구광역시 달서구 당산로30길 12,대구광역시 달서구 성당동 695-44,16,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.84907351,128.5475164,,2023-11-30
36,156-1-000047,성서공단남로23길 인근,공영,노상,대구광역시 달서구 성서공단남로23길 7,대구광역시 달서구 월암동 1-182,4,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.8310385,128.5042369,,2023-11-30
37,156-1-000048,성서공단남로32길인근주차장,공영,노상,대구광역시 달서구 성서동로 17,대구광역시 달서구 월암동 922-7,5,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.82500646,128.5090019,,2023-11-30
38,156-1-000049,성서공단남로36길 인근,공영,노상,대구광역시 달서구 성서공단남로36길 23,대구광역시 달서구 월암동 927,17,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,1440,,,,,,,,,대구광역시 달서구청,053-667-3092,35.82819092,128.5125862,,2023-11-30
